start,end,label,sound_file
9.176471,14.117647,FW20,Raw_Wav_20180102_000342.wav
26.117647,30.352941,FW20,Raw_Wav_20180102_000342.wav
35.294118,39.882353,FW20,Raw_Wav_20180102_000342.wav
45.176471,50.470588,FW20,Raw_Wav_20180102_000342.wav
56.117647,62.117647,FW20,Raw_Wav_20180102_000342.wav
67.764706,72,FW20,Raw_Wav_20180102_000342.wav
77.647059,82.235294,FW20,Raw_Wav_20180102_000342.wav
95.294118,99.529412,FW20,Raw_Wav_20180102_000342.wav
110.117647,115.764706,FW20,Raw_Wav_20180102_000342.wav
127.058824,132.705882,FW20,Raw_Wav_20180102_000342.wav
142.235294,148.588235,FW20,Raw_Wav_20180102_000342.wav
158.470588,164.117647,FW20,Raw_Wav_20180102_000342.wav
173.294118,178.941176,FW20,Raw_Wav_20180102_000342.wav
189.176471,193.764706,FW20,Raw_Wav_20180102_000342.wav
199.764706,204.352941,FW20,Raw_Wav_20180102_000342.wav
216,220.588235,FW20,Raw_Wav_20180102_000342.wav
227.294118,231.882353,FW20,Raw_Wav_20180102_000342.wav
245.647059,250.941176,FW20,Raw_Wav_20180102_000342.wav
256.588235,260.823529,FW20,Raw_Wav_20180102_000342.wav
266.823529,270.705882,FW20,Raw_Wav_20180102_000342.wav
277.764706,281.647059,FW20,Raw_Wav_20180102_000342.wav
288.705882,293.294118,FW20,Raw_Wav_20180102_000342.wav
298.588235,305.647059,FW20,Raw_Wav_20180102_000342.wav
308.823529,314.117647,FW20,Raw_Wav_20180102_000342.wav
325.764706,332.823529,FW20,Raw_Wav_20180102_000342.wav
336.352941,342.352941,FW20,Raw_Wav_20180102_000342.wav
347.647059,353.294118,FW20,Raw_Wav_20180102_000342.wav
363.176471,367.764706,FW20,Raw_Wav_20180102_000342.wav
372.705882,379.764706,FW20,Raw_Wav_20180102_000342.wav
385.058824,390,FW20,Raw_Wav_20180102_000342.wav
403.058824,407.647059,FW20,Raw_Wav_20180102_000342.wav
412.588235,416.823529,FW20,Raw_Wav_20180102_000342.wav
423.176471,428.117647,FW20,Raw_Wav_20180102_000342.wav
434.470588,438.352941,FW20,Raw_Wav_20180102_000342.wav
446.117647,451.411765,FW20,Raw_Wav_20180102_000342.wav
454.941176,460.235294,FW20,Raw_Wav_20180102_000342.wav
475.058824,478.941176,FW20,Raw_Wav_20180102_000342.wav
485.294118,490.235294,FW20,Raw_Wav_20180102_000342.wav
495.529412,501.176471,FW20,Raw_Wav_20180102_000342.wav
506.117647,511.411765,FW20,Raw_Wav_20180102_000342.wav
517.058824,522.352941,FW20,Raw_Wav_20180102_000342.wav
535.411765,540,FW20,Raw_Wav_20180102_000342.wav
545.647059,552.352941,FW20,Raw_Wav_20180102_000342.wav
556.941176,561.529412,FW20,Raw_Wav_20180102_000342.wav
567.529412,572.823529,FW20,Raw_Wav_20180102_000342.wav
586.235294,590.823529,FW20,Raw_Wav_20180102_000342.wav
7.411765,13.058824,FW20,Raw_Wav_20180102_001342.wav
19.058824,23.294118,FW20,Raw_Wav_20180102_001342.wav
35.294118,39.882353,FW20,Raw_Wav_20180102_001342.wav
45.882353,49.764706,FW20,Raw_Wav_20180102_001342.wav
56.117647,59.294118,FW20,Raw_Wav_20180102_001342.wav
73.058824,78.705882,FW20,Raw_Wav_20180102_001342.wav
84.705882,90,FW20,Raw_Wav_20180102_001342.wav
95.647059,99.882353,FW20,Raw_Wav_20180102_001342.wav
106.235294,110.823529,FW20,Raw_Wav_20180102_001342.wav
134.823529,140.470588,FW20,Raw_Wav_20180102_001342.wav
146.117647,150.705882,FW20,Raw_Wav_20180102_001342.wav
159.176471,163.764706,FW20,Raw_Wav_20180102_001342.wav
175.764706,179.294118,FW20,Raw_Wav_20180102_001342.wav
189.529412,194.117647,FW20,Raw_Wav_20180102_001342.wav
201.529412,205.411765,FW20,Raw_Wav_20180102_001342.wav
212.470588,217.058824,FW20,Raw_Wav_20180102_001342.wav
224.117647,227.647059,FW20,Raw_Wav_20180102_001342.wav
234.352941,237.882353,FW20,Raw_Wav_20180102_001342.wav
245.647059,249.529412,FW20,Raw_Wav_20180102_001342.wav
256.235294,260.470588,FW20,Raw_Wav_20180102_001342.wav
265.764706,270.352941,FW20,Raw_Wav_20180102_001342.wav
276.705882,280.941176,FW20,Raw_Wav_20180102_001342.wav
285.882353,289.411765,FW20,Raw_Wav_20180102_001342.wav
300.705882,304.588235,FW20,Raw_Wav_20180102_001342.wav
314.470588,319.058824,FW20,Raw_Wav_20180102_001342.wav
408.705882,415.411765,FW20,Raw_Wav_20180102_001342.wav
418.235294,424.588235,FW20,Raw_Wav_20180102_001342.wav
429.882353,434.823529,FW20,Raw_Wav_20180102_001342.wav
448.941176,453.176471,FW20,Raw_Wav_20180102_001342.wav
459.264706,460.235294,FW20,Raw_Wav_20180102_001342.wav
460.235294,461.558824,FW20,Raw_Wav_20180102_001342.wav
469.279412,470.514706,FW20,Raw_Wav_20180102_001342.wav
470.823529,471.573529,FW20,Raw_Wav_20180102_001342.wav
486.838235,488.205882,FW20,Raw_Wav_20180102_001342.wav
488.205882,489.220588,FW20,Raw_Wav_20180102_001342.wav
497.647059,499.544118,FW20,Raw_Wav_20180102_001342.wav
507.352941,508.676471,FW20,Raw_Wav_20180102_001342.wav
508.676471,509.647059,FW20,Raw_Wav_20180102_001342.wav
525.926471,527.029412,FW20,Raw_Wav_20180102_001342.wav
527.029412,528.661765,FW20,Raw_Wav_20180102_001342.wav
535.985294,537.132353,FW20,Raw_Wav_20180102_001342.wav
537.132353,538.985294,FW20,Raw_Wav_20180102_001342.wav
551.514706,553.014706,FW20,Raw_Wav_20180102_001342.wav
553.014706,554.514706,FW20,Raw_Wav_20180102_001342.wav
566.955882,568.102941,FW20,Raw_Wav_20180102_001342.wav
568.102941,569.779412,FW20,Raw_Wav_20180102_001342.wav
13.235294,15.529412,FW20,Raw_Wav_20180102_002342.wav
29.911765,31.058824,FW20,Raw_Wav_20180102_002342.wav
31.058824,32.205882,FW20,Raw_Wav_20180102_002342.wav
45.838235,46.720588,FW20,Raw_Wav_20180102_002342.wav
46.720588,48.308824,FW20,Raw_Wav_20180102_002342.wav
56.779412,57.794118,FW20,Raw_Wav_20180102_002342.wav
57.794118,59.426471,FW20,Raw_Wav_20180102_002342.wav
78.529412,81,FW20,Raw_Wav_20180102_002342.wav
89.470588,91.367647,FW20,Raw_Wav_20180102_002342.wav
107.514706,109.764706,FW20,Raw_Wav_20180102_002342.wav
118.367647,121.058824,FW20,Raw_Wav_20180102_002342.wav
128.338235,130.941176,FW20,Raw_Wav_20180102_002342.wav
146.117647,148.411765,FW20,Raw_Wav_20180102_002342.wav
161.955882,164.823529,FW20,Raw_Wav_20180102_002342.wav
178.279412,180.573529,FW20,Raw_Wav_20180102_002342.wav
193.941176,195.882353,FW20,Raw_Wav_20180102_002342.wav
208.455882,211.014706,FW20,Raw_Wav_20180102_002342.wav
233.558824,235.764706,FW20,Raw_Wav_20180102_002342.wav
244.058824,245.647059,FW20,Raw_Wav_20180102_002342.wav
245.647059,246.705882,FW20,Raw_Wav_20180102_002342.wav
254.470588,255.970588,FW20,Raw_Wav_20180102_002342.wav
255.970588,257.382353,FW20,Raw_Wav_20180102_002342.wav
265.411765,266.911765,FW20,Raw_Wav_20180102_002342.wav
266.911765,268.323529,FW20,Raw_Wav_20180102_002342.wav
282.441176,284.205882,FW20,Raw_Wav_20180102_002342.wav
284.205882,285.352941,FW20,Raw_Wav_20180102_002342.wav
298.147059,299.470588,FW20,Raw_Wav_20180102_002342.wav
299.470588,301.058824,FW20,Raw_Wav_20180102_002342.wav
309.705882,311.294118,FW20,Raw_Wav_20180102_002342.wav
311.294118,312.529412,FW20,Raw_Wav_20180102_002342.wav
328.764706,329.647059,FW20,Raw_Wav_20180102_002342.wav
329.647059,331.058824,FW20,Raw_Wav_20180102_002342.wav
339,341.117647,FW20,Raw_Wav_20180102_002342.wav
356.117647,357.352941,FW20,Raw_Wav_20180102_002342.wav
357.352941,358.764706,FW20,Raw_Wav_20180102_002342.wav
366.882353,368.029412,FW20,Raw_Wav_20180102_002342.wav
368.029412,369.176471,FW20,Raw_Wav_20180102_002342.wav
378.088235,378.970588,FW20,Raw_Wav_20180102_002342.wav
378.970588,380.117647,FW20,Raw_Wav_20180102_002342.wav
394.323529,395.470588,FW20,Raw_Wav_20180102_002342.wav
395.470588,396.882353,FW20,Raw_Wav_20180102_002342.wav
404.823529,406.058824,FW20,Raw_Wav_20180102_002342.wav
406.058824,407.117647,FW20,Raw_Wav_20180102_002342.wav
424.411765,425.382353,FW20,Raw_Wav_20180102_002342.wav
425.382353,426.617647,FW20,Raw_Wav_20180102_002342.wav
435.617647,436.852941,FW20,Raw_Wav_20180102_002342.wav
436.852941,438,FW20,Raw_Wav_20180102_002342.wav
446.117647,447.264706,FW20,Raw_Wav_20180102_002342.wav
447.264706,448.5,FW20,Raw_Wav_20180102_002342.wav
462.705882,463.852941,FW20,Raw_Wav_20180102_002342.wav
463.852941,465.264706,FW20,Raw_Wav_20180102_002342.wav
474.352941,475.235294,FW20,Raw_Wav_20180102_002342.wav
475.235294,476.294118,FW20,Raw_Wav_20180102_002342.wav
492.088235,493.058824,FW20,Raw_Wav_20180102_002342.wav
493.058824,494.029412,FW20,Raw_Wav_20180102_002342.wav
501.882353,503.647059,FW20,Raw_Wav_20180102_002342.wav
517.5,519.264706,FW20,Raw_Wav_20180102_002342.wav
528,529.764706,FW20,Raw_Wav_20180102_002342.wav
537.970588,539.823529,FW20,Raw_Wav_20180102_002342.wav
552.794118,554.470588,FW20,Raw_Wav_20180102_002342.wav
569.205882,571.058824,FW20,Raw_Wav_20180102_002342.wav
579.970588,582,FW20,Raw_Wav_20180102_002342.wav
590.823529,592.941176,FW20,Raw_Wav_20180102_002342.wav
22.323529,24.441176,FW20,Raw_Wav_20180102_003342.wav
38.294118,40.411765,FW20,Raw_Wav_20180102_003342.wav
53.382353,54.970588,FW20,Raw_Wav_20180102_003342.wav
81.882353,84.264706,FW20,Raw_Wav_20180102_003342.wav
98.382353,100.147059,FW20,Raw_Wav_20180102_003342.wav
113.382353,115.588235,FW20,Raw_Wav_20180102_003342.wav
128.911765,130.676471,FW20,Raw_Wav_20180102_003342.wav
145.235294,146.911765,FW20,Raw_Wav_20180102_003342.wav
161.294118,163.147059,FW20,Raw_Wav_20180102_003342.wav
177.617647,180.176471,FW20,Raw_Wav_20180102_003342.wav
193.058824,194.823529,FW20,Raw_Wav_20180102_003342.wav
207.441176,209.911765,FW20,Raw_Wav_20180102_003342.wav
220.147059,221.911765,FW20,Raw_Wav_20180102_003342.wav
231.088235,232.764706,FW20,Raw_Wav_20180102_003342.wav
241.323529,243.529412,FW20,Raw_Wav_20180102_003342.wav
252,254.735294,FW20,Raw_Wav_20180102_003342.wav
261.882353,264.529412,FW20,Raw_Wav_20180102_003342.wav
274.852941,276.352941,FW20,Raw_Wav_20180102_003342.wav
284.558824,286.588235,FW20,Raw_Wav_20180102_003342.wav
367.058824,369.529412,FW20,Raw_Wav_20180102_003342.wav
384,386.823529,FW20,Raw_Wav_20180102_003342.wav
399,401.823529,FW20,Raw_Wav_20180102_003342.wav
409.588235,412.058824,FW20,Raw_Wav_20180102_003342.wav
420,423,FW20,Raw_Wav_20180102_003342.wav
436.058824,438.352941,FW20,Raw_Wav_20180102_003342.wav
453,454.764706,FW20,Raw_Wav_20180102_003342.wav
468.529412,470.647059,FW20,Raw_Wav_20180102_003342.wav
478.588235,481.058824,FW20,Raw_Wav_20180102_003342.wav
496.588235,498.705882,FW20,Raw_Wav_20180102_003342.wav
506.647059,509.823529,FW20,Raw_Wav_20180102_003342.wav
516.882353,519.705882,FW20,Raw_Wav_20180102_003342.wav
534.176471,537.176471,FW20,Raw_Wav_20180102_003342.wav
546,548.470588,FW20,Raw_Wav_20180102_003342.wav
564.529412,567.176471,FW20,Raw_Wav_20180102_003342.wav
574.411765,576.882353,FW20,Raw_Wav_20180102_003342.wav
13.941176,16.058824,FW20,Raw_Wav_20180102_004342.wav
31.941176,33.705882,FW20,Raw_Wav_20180102_004342.wav
47.294118,49.323529,FW20,Raw_Wav_20180102_004342.wav
69,70.411765,FW20,Raw_Wav_20180102_004342.wav
70.411765,71.647059,FW20,Raw_Wav_20180102_004342.wav
84.705882,86.117647,FW20,Raw_Wav_20180102_004342.wav
86.117647,87.352941,FW20,Raw_Wav_20180102_004342.wav
96.794118,97.852941,FW20,Raw_Wav_20180102_004342.wav
97.852941,99,FW20,Raw_Wav_20180102_004342.wav
115.852941,116.735294,FW20,Raw_Wav_20180102_004342.wav
116.735294,117.794118,FW20,Raw_Wav_20180102_004342.wav
126.794118,127.941176,FW20,Raw_Wav_20180102_004342.wav
127.941176,129.176471,FW20,Raw_Wav_20180102_004342.wav
137.382353,138.617647,FW20,Raw_Wav_20180102_004342.wav
138.617647,139.5,FW20,Raw_Wav_20180102_004342.wav
148.235294,149.470588,FW20,Raw_Wav_20180102_004342.wav
149.470588,150.529412,FW20,Raw_Wav_20180102_004342.wav
165.088235,166.588235,FW20,Raw_Wav_20180102_004342.wav
166.588235,167.911765,FW20,Raw_Wav_20180102_004342.wav
180.882353,182.205882,FW20,Raw_Wav_20180102_004342.wav
182.205882,183.529412,FW20,Raw_Wav_20180102_004342.wav
191.911765,192.794118,FW20,Raw_Wav_20180102_004342.wav
192.794118,194.205882,FW20,Raw_Wav_20180102_004342.wav
209.382353,211.058824,FW20,Raw_Wav_20180102_004342.wav
219,220.5,FW20,Raw_Wav_20180102_004342.wav
220.5,221.735294,FW20,Raw_Wav_20180102_004342.wav
229.235294,230.470588,FW20,Raw_Wav_20180102_004342.wav
230.470588,231.882353,FW20,Raw_Wav_20180102_004342.wav
239.558824,240.705882,FW20,Raw_Wav_20180102_004342.wav
240.705882,241.852941,FW20,Raw_Wav_20180102_004342.wav
249.705882,250.941176,FW20,Raw_Wav_20180102_004342.wav
250.941176,252.264706,FW20,Raw_Wav_20180102_004342.wav
260.205882,261.441176,FW20,Raw_Wav_20180102_004342.wav
261.441176,262.941176,FW20,Raw_Wav_20180102_004342.wav
278.735294,279.794118,FW20,Raw_Wav_20180102_004342.wav
279.794118,281.294118,FW20,Raw_Wav_20180102_004342.wav
294.617647,296.558824,FW20,Raw_Wav_20180102_004342.wav
309.088235,311.647059,FW20,Raw_Wav_20180102_004342.wav
325.058824,327.176471,FW20,Raw_Wav_20180102_004342.wav
336.088235,337.852941,FW20,Raw_Wav_20180102_004342.wav
351.882353,354.176471,FW20,Raw_Wav_20180102_004342.wav
362.029412,363.617647,FW20,Raw_Wav_20180102_004342.wav
382.411765,384.529412,FW20,Raw_Wav_20180102_004342.wav
398.029412,399.617647,FW20,Raw_Wav_20180102_004342.wav
408.088235,410.205882,FW20,Raw_Wav_20180102_004342.wav
425.735294,427.147059,FW20,Raw_Wav_20180102_004342.wav
435.794118,436.852941,FW20,Raw_Wav_20180102_004342.wav
453.705882,455.294118,FW20,Raw_Wav_20180102_004342.wav
463.941176,465.617647,FW20,Raw_Wav_20180102_004342.wav
473.735294,475.235294,FW20,Raw_Wav_20180102_004342.wav
490.764706,492.794118,FW20,Raw_Wav_20180102_004342.wav
501.088235,503.029412,FW20,Raw_Wav_20180102_004342.wav
511.147059,513.176471,FW20,Raw_Wav_20180102_004342.wav
528.441176,530.205882,FW20,Raw_Wav_20180102_004342.wav
121.014706,122.426471,FW20,Raw_Wav_20180102_005342.wav
139.411765,141.529412,FW20,Raw_Wav_20180102_005342.wav
155.382353,156.617647,FW20,Raw_Wav_20180102_005342.wav
165.970588,167.382353,FW20,Raw_Wav_20180102_005342.wav
177.176471,178.941176,FW20,Raw_Wav_20180102_005342.wav
198.882353,200.558824,FW20,Raw_Wav_20180102_005342.wav
209.205882,210.882353,FW20,Raw_Wav_20180102_005342.wav
227.205882,228.705882,FW20,Raw_Wav_20180102_005342.wav
238.147059,240,FW20,Raw_Wav_20180102_005342.wav
248.823529,250.411765,FW20,Raw_Wav_20180102_005342.wav
268.764706,270.088235,FW20,Raw_Wav_20180102_005342.wav
284.647059,286.676471,FW20,Raw_Wav_20180102_005342.wav
300.088235,301.588235,FW20,Raw_Wav_20180102_005342.wav
315.882353,317.470588,FW20,Raw_Wav_20180102_005342.wav
337.411765,339,FW20,Raw_Wav_20180102_005342.wav
348.617647,349.852941,FW20,Raw_Wav_20180102_005342.wav
365.911765,367.676471,FW20,Raw_Wav_20180102_005342.wav
376.147059,377.647059,FW20,Raw_Wav_20180102_005342.wav
406.323529,408.441176,FW20,Raw_Wav_20180102_005342.wav
422.823529,424.235294,FW20,Raw_Wav_20180102_005342.wav
459,460.941176,FW20,Raw_Wav_20180102_005342.wav
469.5,471.794118,FW20,Raw_Wav_20180102_005342.wav
494.205882,496.323529,FW20,Raw_Wav_20180102_005342.wav
510.705882,511.941176,FW20,Raw_Wav_20180102_005342.wav
584.205882,586.058824,FW20,Raw_Wav_20180102_005342.wav
3,4.764706,FW20,Raw_Wav_20180102_010342.wav
18.176471,20.470588,FW20,Raw_Wav_20180102_010342.wav
24.882353,25.941176,FW20,Raw_Wav_20180102_010342.wav
26.647059,27.529412,FW20,Raw_Wav_20180102_010342.wav
41.117647,43.588235,FW20,Raw_Wav_20180102_010342.wav
49.411765,50.470588,FW20,Raw_Wav_20180102_010342.wav
52.058824,54.352941,FW20,Raw_Wav_20180102_010342.wav
69.176471,71.470588,FW20,Raw_Wav_20180102_010342.wav
80.294118,81.352941,FW20,Raw_Wav_20180102_010342.wav
90.529412,92.647059,FW20,Raw_Wav_20180102_010342.wav
101.470588,102.882353,FW20,Raw_Wav_20180102_010342.wav
110.647059,113.294118,FW20,Raw_Wav_20180102_010342.wav
129,130.764706,FW20,Raw_Wav_20180102_010342.wav
139.058824,140.647059,FW20,Raw_Wav_20180102_010342.wav
153.705882,156,FW20,Raw_Wav_20180102_010342.wav
164.294118,166.058824,FW20,Raw_Wav_20180102_010342.wav
181.058824,183.176471,FW20,Raw_Wav_20180102_010342.wav
197.823529,199.941176,FW20,Raw_Wav_20180102_010342.wav
208.764706,210.176471,FW20,Raw_Wav_20180102_010342.wav
217.941176,219.705882,FW20,Raw_Wav_20180102_010342.wav
228.176471,230.823529,FW20,Raw_Wav_20180102_010342.wav
243,245.117647,FW20,Raw_Wav_20180102_010342.wav
253.411765,256.058824,FW20,Raw_Wav_20180102_010342.wav
270.529412,273,FW20,Raw_Wav_20180102_010342.wav
281.647059,283.764706,FW20,Raw_Wav_20180102_010342.wav
292.411765,294.352941,FW20,Raw_Wav_20180102_010342.wav
308.647059,310.588235,FW20,Raw_Wav_20180102_010342.wav
318.529412,321.352941,FW20,Raw_Wav_20180102_010342.wav
328.588235,330.529412,FW20,Raw_Wav_20180102_010342.wav
463.235294,466.235294,FW20,Raw_Wav_20180102_010342.wav
473.823529,475.411765,FW20,Raw_Wav_20180102_010342.wav
483.352941,485.117647,FW20,Raw_Wav_20180102_010342.wav
489.352941,492,FW20,Raw_Wav_20180102_010342.wav
500.470588,502.411765,FW20,Raw_Wav_20180102_010342.wav
510.176471,512.823529,FW20,Raw_Wav_20180102_010342.wav
516.352941,518.647059,FW20,Raw_Wav_20180102_010342.wav
528.529412,531.176471,FW20,Raw_Wav_20180102_010342.wav
537.882353,540,FW20,Raw_Wav_20180102_010342.wav
555.705882,558.176471,FW20,Raw_Wav_20180102_010342.wav
567.529412,570,FW20,Raw_Wav_20180102_010342.wav
583.235294,586.588235,FW20,Raw_Wav_20180102_010342.wav
593.823529,596.117647,FW20,Raw_Wav_20180102_010342.wav
29.609412,31.322353,FW20,Raw_Wav_20180102_011342.wav
45.392941,46.983529,FW20,Raw_Wav_20180102_011342.wav
60.809412,61.788235,FW20,Raw_Wav_20180102_011342.wav
71.821176,73.901176,FW20,Raw_Wav_20180102_011342.wav
96.169412,98.249412,FW20,Raw_Wav_20180102_011342.wav
112.197647,113.788235,FW20,Raw_Wav_20180102_011342.wav
122.597647,124.677647,FW20,Raw_Wav_20180102_011342.wav
140.216471,141.562353,FW20,Raw_Wav_20180102_011342.wav
154.898824,156.734118,FW20,Raw_Wav_20180102_011342.wav
172.272941,173.863529,FW20,Raw_Wav_20180102_011342.wav
182.305882,184.508235,FW20,Raw_Wav_20180102_011342.wav
192.216471,193.684706,FW20,Raw_Wav_20180102_011342.wav
208.489412,210.691765,FW20,Raw_Wav_20180102_011342.wav
224.028235,225.863529,FW20,Raw_Wav_20180102_011342.wav
239.2,241.769412,FW20,Raw_Wav_20180102_011342.wav
255.228235,256.941176,FW20,Raw_Wav_20180102_011342.wav
